CID,SMILES
161536792,CC(CN1CCC2=C(C1)C=CC2)CN3CCN(C3=O)CC4=NC=C(C=C4)N5CCN(CC5)C(=O)C
53304028,CCOC(=O)C1=C(C=C(NC1=O)CCC2=CC=CC=C2)OC3CC(CC(C3)C)C
115689707,C1CC(C1)C(=O)NCCCNC2CCOC2
162715036,CC(C)(C)OC(=O)N1CCC2=NN3CCC(CSC3=C2C1)O
120958395,CN1CCNCC1C2=NOC(=N2)C3=CC=C(C=C3)F
19062125,CC(C)(C)C1=CC=C(C=C1)N(CC(=O)N(CC2=CC=CC=C2)CC3=CC=CC=C3)S(=O)(=O)C
40407971,C1C[C@H](N(C1)C(=O)C2=CC=C(C=C2)[N+](=O)[O-])C3=CN=CC=C3
164866953,CN1C2=C(C=N1)C(=NC3=C2C=C(C=C3)C(=O)N([C@@H]4COCC5=C4C=CC(=N5)C(F)(F)F)C6CC6)N
138014065,CC1=C(C=C(C=N1)S(=O)(=O)NC2(CC2)C3=NNN=N3)C(=O)OC
70500108,CCCCCCCCCCCCCCCCCC(=O)N(C1=NC2=CC=CC=C2S1)N
91875272,COC1=CC(=C(C=C1)C(=S)N)CC(=O)O
159445034,CC1=CC=C(C=C1)SC2=CC(=O)N(C3=C2C=C(C=C3)C)C.CC1=CC=C(C=C1)SC2=CC(=O)N(C3=C2C=C(C=C3)OC)C.CC1=CC=C(C=C1)SC2=CC(=O)N(C3=C2C=C(C(=C3)C)C)C.CC1=CC2=C(C=C1)N(C(=O)C=C2SC3=CC=C(C=C3)N)C.CC1=CC2=C(C=C1)N(C(=O)C=C2SC3=CC=C(C=C3)F)C.CC1=CC2=C(C=C1)N(C(=O)C=C2SC3=CC=C(C=C3)Cl)C.CC1=CC2=C(C=C1)N(C(=O)C=C2SC3=CC=C(C=C3)Br)C.CN1C2=C(C=C(C=C2)OC)C(=CC1=O)SC3=CC=C(C=C3)N.CN1C2=C(C=CC(=C2)Cl)C(=CC1=O)SC3=CC=C(C=C3)N
141138976,CN1C2CCC1CC(C2)N3C4=C(C=C(C=C4)OC(F)F)C=N3
168558395,C1C(CC1(F)F)C2=CC(=CC=C2)NC3=CC(=O)N(C3=O)CCO
86171922,C1CC1C(=C2COC(=C2)C(Cl)(Cl)Cl)C3CC3
173301588,C1=CC=C2C(=C1)C=C(C=[NH+]2)C=NO
45156237,COC1=CC(=C(C=C1)C2=CC=C(C=C2)S(=O)(=O)Cl)OC
93172311,CC(C)(C)NC(=O)N(CC1CC1)CC(=O)N2CCC3=C([C@@H]2COC4=CC(=CC=C4)F)C=CS3
137464265,CCN1C(=O)C(=CC(=N1)Cl)C
