tSNE1,tSNE2,group
-2.3668494,5.902833,PubChem candidate
-15.775619,120.72908,PubChem candidate
-9.969278,13.7354,PubChem candidate
-18.013239,-51.010048,PubChem candidate
-96.51156,30.071657,PubChem candidate
10.394962,97.47746,PubChem candidate
71.65584,38.730003,PubChem candidate
1.5708783,80.80029,PubChem candidate
-22.479805,-95.28589,PubChem candidate
-13.74638,-8.446649,PubChem candidate
-38.44085,-76.1308,PubChem candidate
32.501907,10.270747,PubChem candidate
109.037186,-32.813297,PubChem candidate
-15.205913,-87.87972,PubChem candidate
8.381222,48.2933,PubChem candidate
41.90061,-88.22998,PubChem candidate
-74.721565,6.326634,PubChem candidate
-23.726398,-37.37816,PubChem candidate
-6.1273584,92.40515,PubChem candidate
70.89249,-63.058052,PubChem candidate
-68.650826,-47.696297,PubChem candidate
-61.937294,3.7579093,PubChem candidate
67.585594,-64.54988,PubChem candidate
-132.47925,-1.9773575,PubChem candidate
-35.64959,22.460007,PubChem candidate
-67.52063,14.781507,PubChem candidate
12.234465,69.22063,PubChem candidate
-32.53354,-95.57634,PubChem candidate
50.43589,-42.837093,PubChem candidate
67.71661,-60.34608,PubChem candidate
-133.76096,-8.133862,PubChem candidate
0.84636486,-3.4051402,PubChem candidate
-96.26876,8.748889,PubChem candidate
15.846806,16.564669,PubChem candidate
-19.364958,-52.288204,PubChem candidate
-18.4542,7.676196,PubChem candidate
-6.8343015,-32.96908,PubChem candidate
61.100685,-50.862656,PubChem candidate
61.05602,-66.52758,PubChem candidate
8.498283,-104.54714,PubChem candidate
52.24149,-41.092068,PubChem candidate
-65.72582,8.495704,PubChem candidate
-59.28255,-63.81726,PubChem candidate
-51.30709,-83.3922,PubChem candidate
-103.221405,17.906588,PubChem candidate
-42.296627,72.13099,PubChem candidate
99.466095,23.513374,PubChem candidate
8.615646,-5.776633,PubChem candidate
-66.56157,2.4708219,PubChem candidate
-27.411055,23.748985,PubChem candidate
-76.92661,-58.038193,PubChem candidate
27.044174,-35.387707,PubChem candidate
103.17108,-17.81804,PubChem candidate
-94.7406,-28.568228,PubChem candidate
-20.144983,40.27469,PubChem candidate
21.758429,-5.4818273,PubChem candidate
50.56581,-83.12797,PubChem candidate
45.36446,-88.80833,PubChem candidate
-34.43268,-45.835384,PubChem candidate
-102.195564,20.04798,PubChem candidate
-39.833206,-6.9470024,PubChem candidate
21.200218,0.036452964,PubChem candidate
-71.07424,-7.4413986,PubChem candidate
-29.611046,-95.74006,PubChem candidate
-72.630424,-51.50403,PubChem candidate
-3.0149925,-110.57061,PubChem candidate
-60.11722,10.614546,PubChem candidate
-76.944145,10.163921,PubChem candidate
-38.556652,-24.096025,PubChem candidate
-18.056438,-51.96526,PubChem candidate
10.119314,-108.50561,PubChem candidate
-30.181786,-88.477905,PubChem candidate
25.438564,-31.76125,PubChem candidate
16.211405,0.8125163,PubChem candidate
-96.67686,-29.437202,PubChem candidate
48.901157,79.53602,PubChem candidate
-63.54598,0.935112,PubChem candidate
-21.136354,90.58171,PubChem candidate
-2.5410159,26.989103,PubChem candidate
9.640845,104.20064,PubChem candidate
-37.613037,-23.5008,PubChem candidate
-10.8933735,44.211884,PubChem candidate
26.996452,-29.027529,PubChem candidate
44.08946,53.435627,PubChem candidate
86.66708,51.135277,PubChem candidate
24.59562,-59.27011,PubChem candidate
41.37455,82.59908,PubChem candidate
-79.457504,-2.4432309,PubChem candidate
76.56156,9.220088,PubChem candidate
2.9376757,15.5473175,PubChem candidate
-21.146255,42.301586,PubChem candidate
-45.349255,-16.73095,PubChem candidate
-126.27223,4.586315,PubChem candidate
-21.300114,4.9831657,PubChem candidate
57.537003,-48.137463,PubChem candidate
-49.13476,-72.969864,PubChem candidate
-23.33469,-7.9161654,PubChem candidate
-93.73203,5.3256593,PubChem candidate
13.545012,6.4826922,PubChem candidate
-18.387737,-107.32436,PubChem candidate
-133.58083,-4.621117,PubChem candidate
-2.8122728,27.75924,PubChem candidate
36.569332,27.318735,PubChem candidate
-8.720098,-93.193344,PubChem candidate
23.930786,39.62908,PubChem candidate
-37.035187,67.00766,PubChem candidate
-42.62146,56.47459,PubChem candidate
-1.6821162,16.849588,PubChem candidate
65.031654,8.448948,PubChem candidate
63.831863,-61.696747,PubChem candidate
112.97491,-26.034721,PubChem candidate
93.27657,-40.291355,PubChem candidate
33.279095,34.604767,PubChem candidate
99.419205,-41.295795,PubChem candidate
-33.983883,99.261604,PubChem candidate
91.83832,-17.587072,PubChem candidate
