record_index,lig_SMI,Sol_SMI,c_lig,c_HNO3,c_Metal_mM,D,logD
279,CCCCC(CC)C(=O)N(CCCC)CCCC,CC1=CC(=CC(=C1)C)C,1.0,3.0,26.723,8.90325312690957,0.9495487209058864
280,CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,CCCCCCCCCCCC,0.406808,2.0,0.01,9.14548825946484,0.9612068965517243
281,CCCCCCCCN(CCCCCCCC)C(=O)C(C)C,CCCCCCCCCCCC,,9.0,,3.85522487707398,0.5860497157265141
282,CCCCCCCCN(CCCCCCCC)C(=O)C(C)C,CCCCCCCCCCCC,,6.0,,1.94530035187192,0.2889866653481595
283,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,5.0,0.01,4.6,0.6627578316815741
284,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCC(C)CC(C)C ,1.0,3.43812,,2.82485206293477,0.4509957088161992
285,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,CCCCCCCCCCCC,1.0,0.711123,0.00084,0.0309888906958737,-1.508793969849246
286,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,2.0,3.96326,0.928855120013805,-0.03205202065153314
287,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,CCCCCCCCCCCC,0.3,1.0,0.0004,0.625,-0.2041199826559248
288,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,CCCCCCCCCCCC,0.590499,2.0,0.01,3.45774612623407,0.5387931034482746
289,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,CCCCCCCCCCCC,0.139263,3.0,0.01,0.0356224789026243,-1.448275862068967
290,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCC(C)CC(C)C ,1.32451,1.015,50.0,0.754995434583291,-0.1220556745182012
291,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.0,3.0,671.064,1.2,0.07918124604762482
292,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,CCCC(C)CC(C)C ,0.212357,1.0,,0.027304964154553,-1.563758389261749
293,CCCCCCCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCCC,1.1,1.0,214.592,1.81979165212243,0.2600216684723708
294,CCCCCCN(CCCCCC)C(=O)CCCCC,CCCCCCCCCCCC,1.0,3.5,257.511,5.63,0.7505083948513462
295,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCC(C)CC(C)C ,1.30446,5.0,,5.36339414195842,0.729439713313603
296,CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,CCCCCCCCCCCC,1.0,6.0,0.01,18.490158557214,1.266940635346726
297,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,0.233086,2.0,0.01,0.121738494973251,-0.9145720716388055
298,CCCCCCN(CCCCCC)C(=O)CCC,CCCCCCCCCCCC,,5.0,,3.45150293922851,0.5380082475606797
299,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,CCCC(C)CC(C)C ,0.0860862,0.01,50.0,0.760259836876593,-0.11903795188283
300,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)(C)C,CCCCCCCCCCCC,1.0,1.0,0.1,0.0760629739020266,-1.118826698593236
301,CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,CCCCCCCCCCCC,1.0,0.01,200.0,3.25,0.5118833609788743
302,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,CCCCCCCCCCCC,1.0,0.235168,,0.0172474805441302,-1.763274336283189
303,CCCCCCN(CCCCCC)C(=O)C(C)C,CCCCCCCCCCCC,,4.0,,1.65374100037019,0.2184674937789584
304,CCCCCCN(CCCCCC)C(=O)C(CC)CCCC,CC1=CC=CC=C1,0.396824,3.0,100.0,1.90877058431129,0.2807537335508451
305,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,CCCCCCCCCCCC,0.4,6.5,0.03,0.528427075404633,-0.2770149382233361
